Date,Simple Date,Outdoor Temperature (F),Feels Like (F),Dew Point (F),Wind Speed (mph),Wind Gust (mph),Wind Direction (deg),Rain Rate (in/hr),Daily Rain (in),Relative Pressure (inHg),Humidity (pct),Absolute Pressure (inHg),Soil 1 Battery (V)
2024-06-25T19:03:00-04:00,6/25/2024 19:03,70.2,70.2,59.5,6.9,10.3,268,0,0,29.79,69,29.79,
2024-06-25T19:18:00-04:00,6/25/2024 19:18,69.4,69.4,59.6,2,6.9,255,0,0,29.79,71,29.79,
2024-06-25T19:33:00-04:00,6/25/2024 19:33,68.7,68.7,60.1,2.2,6.9,258,0,0,29.79,74,29.79,
2024-06-25T19:48:00-04:00,6/25/2024 19:48,68.4,68.5,60.2,2.7,6.3,242,0,0,29.8,75,29.8,4.35
2024-06-25T20:03:00-04:00,6/25/2024 20:03,68.2,68.3,60.3,4.9,7.8,259,0,0,29.8,76,29.8,
2024-06-25T20:18:00-04:00,6/25/2024 20:18,67.6,67.6,60.5,5.1,8.1,278,0,0,29.8,78,29.8,
2024-06-25T20:33:00-04:00,6/25/2024 20:33,67.8,67.8,60.3,0.7,4.9,268,0,0,29.79,77,29.79,
2024-06-25T20:48:00-04:00,6/25/2024 20:48,67.8,67.8,60.3,4.5,8.1,263,0,0,29.79,77,29.79,4.29
2024-06-25T21:03:00-04:00,6/25/2024 21:03,67.5,67.5,60.4,4,6.9,280,0,0,29.8,78,29.8,
2024-06-25T21:18:00-04:00,6/25/2024 21:18,66.6,66.6,60.2,3.6,6.7,275,0,0,29.8,80,29.8,
2024-06-25T21:33:00-04:00,6/25/2024 21:33,66.4,66.4,60.4,4,7.4,244,0,0,29.8,81,29.8,4.29
2024-06-25T21:48:00-04:00,6/25/2024 21:48,66,66,60.3,3.6,7.6,255,0,0,29.8,82,29.8,
2024-06-25T22:03:00-04:00,6/25/2024 22:03,65.7,65.7,60,4.3,6.9,238,0,0,29.8,82,29.8,
2024-06-25T22:18:00-04:00,6/25/2024 22:18,65.5,65.5,60.2,4.9,7.6,255,0,0,29.8,83,29.8,
2024-06-25T22:33:00-04:00,6/25/2024 22:33,65.5,65.5,59.9,4.3,6.9,287,0,0,29.8,82,29.8,4.3
2024-06-25T22:48:00-04:00,6/25/2024 22:48,65.7,65.7,60.4,2.7,6,269,0,0,29.8,83,29.8,
2024-06-25T23:03:00-04:00,6/25/2024 23:03,66.4,66.4,60.4,5.4,9.2,269,0,0,29.8,81,29.8,
