SITE,SAMPLE,LATITUDE,LONGITUDE,DEPTH_M,C_CODE,LITHOLOGY,GRAVEL,SAND,SILT,CLAY,MUD,MEAN_PHI,STD DEV,BAY,
1650,WF-502,43.025,-70.2,,M,MUD,0,0,37,63,100,8.88,1.87,,
1651,WF-503,43.05,-70.15833333,,M,MUD,0,0,37,63,100,8.9,1.87,,
1652,WF-504,43.06833333,-70.12,,M,MUD,0,1,37,62,99,8.74,2.07,,
1653,WF-506,43.10333333,-70.12,,sM,SANDY MUD,0,16,31,53,84,7.51,2.82,,
1654,WF-507,43.12333333,-70.15833333,,gM,GRAVELLY MUD,5,9,29,57,86,8.13,2.8,,
1655,WF-508,43.16,-70.225,,M,MUD,0,2,49,49,98,7.86,2.46,,
1656,WF-509,43.18333333,-70.26333333,,M,MUD,0,1,53,46,99,7.97,2.25,,
1657,WF-510,42.94833333,-70.47166667,,M,MUD,0,2,67,31,99,7.11,2.31,WELLS BAY,
1658,WF-513,42.895,-70.355,,msG,MUDDY SANDY GRAVEL,50,35,6,9,15,3.78,1.06,,
1659,WF-514,42.875,-70.31666667,,gmS,GRAVELLY MUDDY SAND,6,66,14,14,28,5.03,2.11,,
1660,WF-601,42.95333333,-70.215,,M,MUD,0,1,39,60,99,8.77,2.03,,
1661,WF-603,42.97,-70.13833333,,M,MUD,0,9,36,55,91,8.1,2.68,,
1662,WF-604,42.97833333,-70.105,,msG,MUDDY SANDY GRAVEL,32,48,7,13,20,4.68,1.91,,
1663,WF-605,42.94166667,-70.105,,gM,GRAVELLY MUD,7,43,22,28,50,5.99,2.78,,
1664,WF-607,42.925,-70.34333333,,M,MUD,0,0,41,59,100,8.68,1.99,,
1665,WF-608,42.90666667,-70.305,,M,MUD,0,0,41,59,100,8.52,2.24,,
1666,WF-609,42.88833333,-70.26666667,,sM,SANDY MUD,0,26,30,44,74,7.32,2.82,,
1701,SS1,43.04383333,-70.70933333,,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1702,SS2,43.0475,-70.70483333,,gS,GRAVELLY SAND,12,87,,,1,1.17,1.49,,
1703,SS3,43.05116667,-70.7,,S,SAND,4,94,,,2,2.73,0.84,,
1704,SS4,43.0525,-70.69783333,,S,SAND,1,97,,,2,2.63,0.55,,
1705,SS5,43.0555,-70.69466667,,sG,SANDY GRAVEL,64,35,,,1,-1.7,1.56,,
1706,SS6,43.05819444,-70.71083333,,sG,SANDY GRAVEL,58,40,,,2,-1.6,2.94,,
1707,SS7,43.05933333,-70.70683333,,gS,GRAVELLY SAND,14,83,,,3,1.1,1.63,,
