sst,ID,bathy,lon,lon
10.385,889671,-34.52174026,-69.91999817,43.70000076
10.362,890771,-29.18774044,-69.91000366,43.70000076
10.34,891871,-23.29934063,-69.90000153,43.70000076
10.321,892971,-22.29232617,-69.88999939,43.70000076
10.303,894071,-21.32950773,-69.87999725,43.70000076
10.288,895171,-19.81984534,-69.87000275,43.70000076
10.274,896271,-17.23318741,-69.86000061,43.70000076
10.262,897371,-12.5082959,-69.84999847,43.70000076
10.251,898471,-10.77325342,-69.83999634,43.70000076
10.035,853372,-1.093961905,-70.25,43.70999908
10.087,857772,-8.034335176,-70.20999908,43.70999908
10.103,858872,-11.16857062,-70.19999695,43.70999908
10.119,859972,-11.66213693,-70.19000244,43.70999908
10.135,861072,-16.16830457,-70.18000031,43.70999908
10.152,862172,-18.91820877,-70.16999817,43.70999908
10.169,863272,-16.01185815,-70.16000366,43.70999908
10.204,865472,-10.833996,-70.13999939,43.70999908
10.239,867672,-13.64051972,-70.12000275,43.70999908
10.258,868772,-15.1915201,-70.11000061,43.70999908
10.276,869872,-23.11766976,-70.09999847,43.70999908
10.296,870972,-11.42023776,-70.08999634,43.70999908
10.338,873172,-27.4247498,-70.06999969,43.70999908
10.359,874272,-29.77890611,-70.05999756,43.70999908
10.381,875372,-13.54555483,-70.05000305,43.70999908
10.402,876472,-17.32556295,-70.04000092,43.70999908
10.421,877572,-17.86647955,-70.02999878,43.70999908
10.435,878672,-33.12497516,-70.01999664,43.70999908
10.444,879772,-18.63848106,-70.01000214,43.70999908
10.449,880872,-13.60905434,-70,43.70999908
10.45,881972,-19.52742181,-69.98999786,43.70999908
10.449,883072,-29.04697257,-69.98000336,43.70999908
10.443,884172,-37.32158744,-69.97000122,43.70999908
10.433,885272,-36.26505994,-69.95999908,43.70999908
10.419,886372,-33.49752666,-69.94999695,43.70999908
10.403,887472,-29.6926913,-69.94000244,43.70999908
10.384,888572,-31.91840935,-69.93000031,43.70999908
10.364,889672,-26.11032414,-69.91999817,43.70999908
10.343,890772,-22.83633772,-69.91000366,43.70999908
10.323,891872,-21.12501018,-69.90000153,43.70999908
10.304,892972,-16.85295794,-69.88999939,43.70999908
10.287,894072,-17.52948183,-69.87999725,43.70999908
10.271,895172,-16.11527917,-69.87000275,43.70999908
10.257,896272,-12.16161831,-69.86000061,43.70999908
10.064,856673,-1.638132354,-70.22000122,43.72000122
10.077,857773,-7.352340222,-70.20999908,43.72000122
10.092,858873,-10.53695749,-70.19999695,43.72000122
10.107,859973,-8.281199575,-70.19000244,43.72000122
10.122,861073,-15.18894112,-70.18000031,43.72000122
10.138,862173,-14.79597322,-70.16999817,43.72000122
10.154,863273,-15.59649066,-70.16000366,43.72000122
10.171,864373,-9.026652082,-70.15000153,43.72000122
10.188,865473,-4.026983268,-70.13999939,43.72000122
10.243,868773,-9.637563782,-70.11000061,43.72000122
10.262,869873,-19.26795214,-70.09999847,43.72000122
10.281,870973,-17.25819226,-70.08999634,43.72000122
10.301,872073,-9.582875236,-70.08000183,43.72000122
10.32,873173,-17.80046634,-70.06999969,43.72000122
10.34,874273,-39.01105567,-70.05999756,43.72000122
10.358,875373,-24.88466594,-70.05000305,43.72000122
10.375,876473,-7.647238594,-70.04000092,43.72000122
10.402,878673,-24.49622422,-70.01999664,43.72000122
10.41,879773,-22.08883705,-70.01000214,43.72000122
10.415,881973,-20.03289697,-69.98999786,43.72000122
10.412,883073,-24.11179832,-69.98000336,43.72000122
10.406,884173,-26.81247139,-69.97000122,43.72000122
10.397,885273,-24.19304617,-69.95999908,43.72000122
10.385,886373,-28.74629514,-69.94999695,43.72000122
10.371,887473,-20.00287549,-69.94000244,43.72000122
10.355,888573,-17.42716328,-69.93000031,43.72000122
10.337,889673,-23.23303663,-69.91999817,43.72000122
10.319,890773,-22.7141342,-69.91000366,43.72000122
10.283,892973,-16.1491941,-69.88999939,43.72000122
10.266,894073,-17.31435442,-69.87999725,43.72000122
