#,Date-Time (EDT),Temperature   (°C),Started,Button Down,Button Up,End of File
321,06/04/2025 17:44:44,21.49,,,,
322,06/04/2025 17:49:44,21.32,,,,
323,06/04/2025 17:54:44,21.32,,,,
324,06/04/2025 17:59:44,21.28,,,,
325,06/04/2025 18:04:44,21.19,,,,
326,06/04/2025 18:09:44,21.06,,,,
327,06/04/2025 18:14:44,20.93,,,,
328,06/04/2025 18:19:44,20.80,,,,
329,06/04/2025 18:24:44,20.55,,,,
330,06/04/2025 18:29:44,20.46,,,,
331,06/04/2025 18:34:44,20.37,,,,
332,06/04/2025 18:39:44,20.29,,,,
333,06/04/2025 18:44:44,20.12,,,,
334,06/04/2025 18:49:44,20.03,,,,
335,06/04/2025 18:54:44,19.86,,,,
336,06/04/2025 18:59:44,19.69,,,,
337,06/04/2025 19:04:44,19.52,,,,
338,06/04/2025 19:09:44,19.43,,,,
339,06/04/2025 19:14:44,19.22,,,,
340,06/04/2025 19:19:44,19.09,,,,
341,06/04/2025 19:24:44,18.87,,,,
342,06/04/2025 19:29:44,18.70,,,,
343,06/04/2025 19:34:44,18.62,,,,
344,06/04/2025 19:39:44,18.40,,,,
345,06/04/2025 19:44:44,18.27,,,,
346,06/04/2025 19:49:44,18.10,,,,
347,06/04/2025 19:54:44,18.02,,,,
348,06/04/2025 19:59:44,17.84,,,,
349,06/04/2025 20:04:44,17.67,,,,
350,06/04/2025 20:09:44,17.46,,,,
351,06/04/2025 20:14:44,17.33,,,,
352,06/04/2025 20:19:44,17.16,,,,
353,06/04/2025 20:24:44,16.99,,,,
354,06/04/2025 20:29:44,16.90,,,,
355,06/04/2025 20:34:44,16.73,,,,
356,06/04/2025 20:39:44,16.69,,,,
357,06/04/2025 20:44:44,16.51,,,,
358,06/04/2025 20:49:44,16.43,,,,
359,06/04/2025 20:54:44,16.34,,,,
360,06/04/2025 20:59:44,16.34,,,,
361,06/04/2025 21:04:44,16.21,,,,
362,06/04/2025 21:09:44,16.17,,,,
363,06/04/2025 21:14:44,16.13,,,,
364,06/04/2025 21:19:44,16.04,,,,
365,06/04/2025 21:24:44,15.96,,,,
366,06/04/2025 21:29:44,15.91,,,,
367,06/04/2025 21:34:44,15.87,,,,
368,06/04/2025 21:39:44,15.83,,,,
369,06/04/2025 21:44:44,15.78,,,,
370,06/04/2025 21:49:44,15.70,,,,
371,06/04/2025 21:54:44,15.61,,,,
372,06/04/2025 21:59:44,15.57,,,,
373,06/04/2025 22:04:44,15.53,,,,
374,06/04/2025 22:09:44,15.57,,,,
375,06/04/2025 22:14:44,15.53,,,,
376,06/04/2025 22:19:44,15.48,,,,
377,06/04/2025 22:24:44,15.40,,,,
378,06/04/2025 22:29:44,15.36,,,,
379,06/04/2025 22:34:44,15.40,,,,
380,06/04/2025 22:39:44,15.36,,,,
381,06/04/2025 22:44:44,15.27,,,,
382,06/04/2025 22:49:44,15.23,,,,
383,06/04/2025 22:54:44,15.23,,,,
384,06/04/2025 22:59:44,15.14,,,,
385,06/04/2025 23:04:44,15.14,,,,
386,06/04/2025 23:09:44,15.18,,,,
387,06/04/2025 23:14:44,15.18,,,,
388,06/04/2025 23:19:44,15.10,,,,
389,06/04/2025 23:24:44,15.06,,,,
390,06/04/2025 23:29:44,14.97,,,,
391,06/04/2025 23:34:44,14.93,,,,
392,06/04/2025 23:39:44,14.88,,,,
393,06/04/2025 23:44:44,14.84,,,,
394,06/04/2025 23:49:44,14.80,,,,
395,06/04/2025 23:54:44,14.84,,,,
396,06/04/2025 23:59:44,14.80,,,,
397,06/05/2025 00:04:44,14.71,,,,
398,06/05/2025 00:09:44,14.71,,,,
399,06/05/2025 00:14:44,14.75,,,,
400,06/05/2025 00:19:44,14.67,,,,
401,06/05/2025 00:24:44,14.58,,,,
402,06/05/2025 00:29:44,14.58,,,,
403,06/05/2025 00:34:44,14.54,,,,
404,06/05/2025 00:39:44,14.50,,,,
405,06/05/2025 00:44:44,14.45,,,,
406,06/05/2025 00:49:44,14.45,,,,
407,06/05/2025 00:54:44,14.45,,,,
408,06/05/2025 00:59:44,14.45,,,,
409,06/05/2025 01:04:44,14.41,,,,
410,06/05/2025 01:09:44,14.37,,,,
411,06/05/2025 01:14:44,14.33,,,,
412,06/05/2025 01:19:44,14.33,,,,
413,06/05/2025 01:24:44,14.24,,,,
414,06/05/2025 01:29:44,14.20,,,,
415,06/05/2025 01:34:44,14.20,,,,
416,06/05/2025 01:39:44,14.15,,,,
417,06/05/2025 01:44:44,14.07,,,,
418,06/05/2025 01:49:44,14.11,,,,
419,06/05/2025 01:54:44,14.07,,,,
420,06/05/2025 01:59:44,14.03,,,,
421,06/05/2025 02:04:44,13.98,,,,
422,06/05/2025 02:09:44,13.94,,,,
423,06/05/2025 02:14:44,13.94,,,,
424,06/05/2025 02:19:44,13.94,,,,
425,06/05/2025 02:24:44,13.90,,,,
426,06/05/2025 02:29:44,13.85,,,,
427,06/05/2025 02:34:44,13.81,,,,
428,06/05/2025 02:39:44,13.73,,,,
429,06/05/2025 02:44:44,13.68,,,,
430,06/05/2025 02:49:44,13.68,,,,
431,06/05/2025 02:54:44,13.64,,,,
432,06/05/2025 02:59:44,13.51,,,,
433,06/05/2025 03:04:44,13.51,,,,
434,06/05/2025 03:09:44,13.55,,,,
435,06/05/2025 03:14:44,13.55,,,,
436,06/05/2025 03:19:44,13.51,,,,
437,06/05/2025 03:24:44,13.47,,,,
438,06/05/2025 03:29:44,13.47,,,,
439,06/05/2025 03:34:44,13.47,,,,
440,06/05/2025 03:39:44,13.38,,,,
441,06/05/2025 03:44:44,13.38,,,,
442,06/05/2025 03:49:44,13.38,,,,
443,06/05/2025 03:54:44,13.34,,,,
444,06/05/2025 03:59:44,13.34,,,,
445,06/05/2025 04:04:44,13.34,,,,
446,06/05/2025 04:09:44,13.34,,,,
447,06/05/2025 04:14:44,13.30,,,,
448,06/05/2025 04:19:44,13.30,,,,
449,06/05/2025 04:24:44,13.21,,,,
450,06/05/2025 04:29:44,13.21,,,,
451,06/05/2025 04:34:44,13.21,,,,
452,06/05/2025 04:39:44,13.21,,,,
453,06/05/2025 04:44:44,13.21,,,,
454,06/05/2025 04:49:44,13.12,,,,
455,06/05/2025 04:54:44,13.12,,,,
456,06/05/2025 04:59:44,13.12,,,,
457,06/05/2025 05:04:44,13.08,,,,
458,06/05/2025 05:09:44,13.12,,,,
459,06/05/2025 05:14:44,13.17,,,,
460,06/05/2025 05:19:44,13.12,,,,
461,06/05/2025 05:24:44,13.12,,,,
462,06/05/2025 05:29:44,13.21,,,,
463,06/05/2025 05:34:44,13.17,,,,
464,06/05/2025 05:39:44,13.25,,,,
465,06/05/2025 05:44:44,13.30,,,,
466,06/05/2025 05:49:44,13.34,,,,
467,06/05/2025 05:54:44,13.43,,,,
468,06/05/2025 05:59:44,13.47,,,,
469,06/05/2025 06:04:44,13.64,,,,
470,06/05/2025 06:09:44,13.68,,,,
471,06/05/2025 06:14:44,13.81,,,,
472,06/05/2025 06:19:44,13.85,,,,
473,06/05/2025 06:24:44,13.94,,,,
474,06/05/2025 06:29:44,14.07,,,,
475,06/05/2025 06:34:44,14.24,,,,
476,06/05/2025 06:39:44,14.37,,,,
477,06/05/2025 06:44:44,14.50,,,,
478,06/05/2025 06:49:44,14.67,,,,
479,06/05/2025 06:54:44,14.84,,,,
480,06/05/2025 06:59:44,14.97,,,,
481,06/05/2025 07:04:44,15.06,,,,
482,06/05/2025 07:09:44,15.14,,,,
483,06/05/2025 07:14:44,15.31,,,,
484,06/05/2025 07:19:44,15.48,,,,
485,06/05/2025 07:24:44,15.66,,,,
486,06/05/2025 07:29:44,15.87,,,,
487,06/05/2025 07:34:44,16.08,,,,
488,06/05/2025 07:39:44,16.30,,,,
489,06/05/2025 07:44:44,16.43,,,,
490,06/05/2025 07:49:44,16.60,,,,
491,06/05/2025 07:54:44,16.86,,,,
492,06/05/2025 07:59:44,17.03,,,,
493,06/05/2025 08:04:44,17.63,,,,
494,06/05/2025 08:09:44,17.67,,,,
495,06/05/2025 08:14:44,18.49,,,,
496,06/05/2025 08:19:44,18.44,,,,
497,06/05/2025 08:24:44,18.53,,,,
498,06/05/2025 08:29:44,18.74,,,,
499,06/05/2025 08:34:44,18.83,,,,
500,06/05/2025 08:39:44,19.00,,,,
501,06/05/2025 08:44:44,19.77,,,,
502,06/05/2025 08:49:44,20.55,,,,
503,06/05/2025 08:54:44,20.55,,,,
504,06/05/2025 08:59:44,20.72,,,,
505,06/05/2025 09:04:44,20.76,,,,
506,06/05/2025 09:09:44,21.10,,,,
507,06/05/2025 09:14:44,22.69,,,,
508,06/05/2025 09:19:44,23.94,,,,
509,06/05/2025 09:24:44,27.15,,,,
510,06/05/2025 09:29:44,27.63,,,,
511,06/05/2025 09:34:44,31.66,,,,
512,06/05/2025 09:39:44,38.09,,,,
513,06/05/2025 09:44:44,42.64,,,,
