#,Date-Time (EDT),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,Host Connected,End of File
385,06/03/2025 16:22:35,19.99,6105.60,,,,,
386,06/03/2025 16:27:35,19.95,6021.12,,,,,
387,06/03/2025 16:32:35,19.73,6210.56,,,,,
388,06/03/2025 16:37:35,19.82,6773.76,,,,,
389,06/03/2025 16:42:35,19.77,6333.44,,,,,
390,06/03/2025 16:47:35,19.65,5231.36,,,,,
391,06/03/2025 16:52:35,19.52,5870.08,,,,,
392,06/03/2025 16:57:35,19.09,5237.76,,,,,
393,06/03/2025 17:02:35,19.17,6361.60,,,,,
394,06/03/2025 17:07:35,19.26,5900.80,,,,,
395,06/03/2025 17:12:35,19.35,5227.52,,,,,
396,06/03/2025 17:17:35,19.09,4236.80,,,,,
397,06/03/2025 17:22:35,19.26,4522.24,,,,,
398,06/03/2025 17:27:35,18.62,3502.08,,,,,
399,06/03/2025 17:32:35,18.06,3024.64,,,,,
400,06/03/2025 17:37:35,17.84,3004.16,,,,,
401,06/03/2025 17:42:35,17.59,2996.48,,,,,
402,06/03/2025 17:47:35,17.33,2757.12,,,,,
403,06/03/2025 17:52:35,17.24,3061.76,,,,,
404,06/03/2025 17:57:35,17.29,3906.56,,,,,
405,06/03/2025 18:02:35,17.33,4056.32,,,,,
406,06/03/2025 18:07:35,17.16,3393.28,,,,,
407,06/03/2025 18:12:35,16.99,3289.60,,,,,
408,06/03/2025 18:17:35,17.07,3994.88,,,,,
409,06/03/2025 18:22:35,17.37,4952.32,,,,,
410,06/03/2025 18:27:35,17.33,5184.00,,,,,
411,06/03/2025 18:32:35,17.54,5180.16,,,,,
412,06/03/2025 18:37:35,17.37,4733.44,,,,,
413,06/03/2025 18:42:35,17.29,3906.56,,,,,
414,06/03/2025 18:47:35,17.20,3974.40,,,,,
415,06/03/2025 18:52:35,17.11,3841.28,,,,,
416,06/03/2025 18:57:35,17.16,2996.48,,,,,
417,06/03/2025 19:02:35,16.77,2460.80,,,,,
418,06/03/2025 19:07:35,16.30,2136.96,,,,,
419,06/03/2025 19:12:35,16.00,1842.56,,,,,
420,06/03/2025 19:17:35,15.70,1594.88,,,,,
421,06/03/2025 19:22:35,15.48,1379.84,,,,,
422,06/03/2025 19:27:35,15.31,1223.36,,,,,
423,06/03/2025 19:32:35,15.18,1061.76,,,,,
424,06/03/2025 19:37:35,15.10,901.76,,,,,
425,06/03/2025 19:42:35,15.01,758.72,,,,,
426,06/03/2025 19:47:35,14.93,659.52,,,,,
427,06/03/2025 19:52:35,14.84,558.56,,,,,
428,06/03/2025 19:57:35,14.80,474.40,,,,,
429,06/03/2025 20:02:35,14.67,350.40,,,,,
430,06/03/2025 20:07:35,14.45,265.44,,,,,
431,06/03/2025 20:12:35,14.41,193.44,,,,,
432,06/03/2025 20:17:35,14.41,137.08,,,,,
433,06/03/2025 20:22:35,14.15,94.20,,,,,
434,06/03/2025 20:27:35,13.98,60.76,,,,,
435,06/03/2025 20:32:35,13.94,39.38,,,,,
436,06/03/2025 20:37:35,13.90,29.53,,,,,
437,06/03/2025 20:42:35,13.73,25.22,,,,,
438,06/03/2025 20:47:35,13.85,23.09,,,,,
439,06/03/2025 20:52:35,13.94,22.24,,,,,
440,06/03/2025 20:57:35,13.81,21.82,,,,,
441,06/03/2025 21:02:35,13.64,21.82,,,,,
442,06/03/2025 21:07:35,13.77,21.39,,,,,
443,06/03/2025 21:12:35,13.81,21.39,,,,,
444,06/03/2025 21:17:35,13.94,21.82,,,,,
445,06/03/2025 21:22:35,13.94,21.39,,,,,
446,06/03/2025 21:27:35,13.90,21.82,,,,,
447,06/03/2025 21:32:35,13.98,21.39,,,,,
448,06/03/2025 21:37:35,13.94,21.39,,,,,
449,06/03/2025 21:42:35,13.94,21.39,,,,,
450,06/03/2025 21:47:35,13.98,21.39,,,,,
451,06/03/2025 21:52:35,14.03,21.39,,,,,
452,06/03/2025 21:57:35,14.03,21.82,,,,,
453,06/03/2025 22:02:35,14.03,21.39,,,,,
