"metar_date","wind_dir","wind_speed","tempr","dewpt","press","vis"
2023-06-29 23:45:00,105.87067498582,1.59705554590378,18.5531746031746,17.0611678004535,1014.66414399093,9006.48762471655
2023-06-29 23:50:00,105.89103291714,1.59662855577936,18.553488372093,17.0612024957459,1014.66516165627,9008.8577084515
2023-06-29 23:55:00,105.830969937606,1.59620113116471,18.5531746031746,17.0611678004535,1014.66299319728,9012.87391156463
2023-06-30 00:00:00,105.785592739648,1.59577386042318,18.5531746031746,17.0611678004535,1014.66184240363,9014.69856575964
2023-06-30 00:05:00,105.74021554169,1.59534615519143,18.5531746031746,17.0611678004535,1014.66069160998,9012.87391156463
2023-06-30 00:10:00,105.74021554169,1.59491801546944,18.5531746031746,17.0611678004535,1014.66069160998,9012.87391156463
2023-06-30 00:15:00,105.694838343732,1.59448998268707,18.5531746031746,17.0611678004535,1014.65934807256,9007.39994897959
2023-06-30 00:20:00,105.660805445264,1.59406269214118,18.5530612244898,17.0612811791383,1014.65800453515,9001.92599206349
2023-06-30 00:25:00,105.600907029478,1.59363555563478,18.5527478753541,17.0612464589235,1014.65584135977,9000.47299150142
2023-06-30 00:30:00,105.615428247306,1.59320769087238,18.5530612244898,17.0612811791383,1014.65666099773,8996.45203514739
2023-06-30 00:35:00,105.558706749858,1.59277983170217,18.5530612244898,17.0612811791383,1014.65512471655,8991.89040249433
2023-06-30 00:40:00,105.498866213152,1.59235212657145,18.5527478753541,17.0612464589235,1014.65277053824,8991.35489518414
2023-06-30 00:45:00,105.447845804989,1.5919247114308,18.5527478753541,17.0618130311615,1014.65104249292,8987.70765439094
2023-06-30 00:50:00,105.402494331066,1.59149730170973,18.5527478753541,17.0623796033994,1014.64950708215,8985.88403399433
2023-06-30 00:55:00,105.40555870675,1.59107004576923,18.5530612244898,17.0629818594104,1014.65032312925,8981.85480725624
2023-06-30 01:00:00,105.348837209302,1.59064353163367,18.5530612244898,17.0635487528345,1014.64878684807,8981.85480725624
2023-06-30 01:05:00,105.343165059558,1.59021717127869,18.5530612244898,17.0641156462585,1014.64725056689,8981.85480725624
2023-06-30 01:10:00,105.320476460579,1.5897903766799,18.5530612244898,17.0646825396825,1014.64571428571,8980.03015306123
2023-06-30 01:15:00,105.28644356211,1.5893635423656,18.5530612244898,17.0652494331066,1014.64398526077,8977.29317460318
2023-06-30 01:20:00,105.283768444949,1.58893615705862,18.5539421440726,17.0658536585366,1014.64460578559,8973.25678956324
2023-06-30 01:25:00,105.266742338252,1.588509076577,18.5545093590471,17.0664208735111,1014.64287577992,8973.25678956324
2023-06-30 01:30:00,105.244040862656,1.58808258953935,18.5550765740216,17.0669880884855,1014.64114577425,8973.25678956324
2023-06-30 01:35:00,105.252697331062,1.58765723883495,18.5559591373439,17.0675936435868,1014.64195800227,8970.12918274688
2023-06-30 01:40:00,105.195911413969,1.58723219400103,18.5565266742338,17.0681611804767,1014.64061293984,8971.04254256527
