species_name,year,Group,lambda,wk,mu,ll,ul,overlap,min.length,max.length,agemax,Linf,range,coverage
atlantic herring,2022,1,0.751940953,24,56.52472411,50.83848769,62.21096053,0,14,137,25,450,11.37247284,0.025272162
atlantic herring,2022,2,0.248059047,24,75.76751513,64.22962155,87.30540871,0,14,137,25,450,23.07578716,0.051279527
atlantic herring,2022,1,0.843995451,26,56.19646491,47.93865097,64.45427885,8.402528595,14,137,25,450,16.51562788,0.036701395
atlantic herring,2022,2,1,27,75.51028483,64.90336884,86.11720081,0,14,137,25,450,21.21383197,0.047141849
atlantic herring,2022,1,1,28,63.19586653,52.75507347,73.63665958,0,14,137,25,450,20.88158611,0.046403525
atlantic herring,2022,1,0.904236006,30,63.80332826,57.1716607,70.43499582,5.715464776,14,137,25,450,13.26333511,0.029474078
atlantic herring,2023,1,1,22,55.89482347,50.73376497,61.05588196,0,14,137,25,450,10.322117,0.022938038
atlantic herring,2023,1,1,24,51.92923857,47.86908482,55.98939232,0,14,137,25,450,8.120307503,0.018045128
atlantic herring,2023,1,1,25,58.06223303,48.95179945,67.17266661,0,14,137,25,450,18.22086716,0.040490816
atlantic herring,2023,1,1,27,57.37485913,43.13084446,71.6188738,0,14,137,25,450,28.48802935,0.063306732
atlantic herring,2023,1,1,31,63.43785389,54.82015664,72.05555114,0,14,137,25,450,17.2353945,0.038300877
atlantic silverside,2014,1,0.604630757,30,52.6536721,46.81132864,58.49601555,0,7,213,2,180,11.68468691,0.064914927
atlantic silverside,2014,1,1,31,57.1121339,45.18577254,69.03849525,0,7,213,2,180,23.85272272,0.132515126
atlantic silverside,2014,1,1,32,62.86218255,51.31019242,74.41417269,0,7,213,2,180,23.10398027,0.128355446
atlantic silverside,2014,1,1,33,60.08086257,29.88348277,90.27824237,0,7,213,2,180,60.3947596,0.335526442
atlantic silverside,2014,1,1,34,62.91795452,31.80151106,94.03439797,0,7,213,2,180,62.23288691,0.345738261
atlantic silverside,2014,1,0.384988716,35,58.58501356,51.66478763,103.8327593,0,7,213,2,180,52.16797162,0.076891399
atlantic silverside,2015,2,0.255383068,24,91.28052724,74.32476326,123.2891113,36.88847779,7,213,2,180,48.964348,0.272024156
atlantic silverside,2015,2,0.364168682,25,96.29374114,85.73147047,128.5706009,0,7,213,2,180,42.83913039,0.117358563
atlantic silverside,2015,2,1,27,109.0515603,84.96244005,133.1406805,0,7,213,2,180,48.17824049,0.267656892
atlantic silverside,2015,1,0.601546412,28,33.6704325,12.62444065,54.71642435,0,7,213,2,180,42.0919837,0.233844354
atlantic silverside,2015,2,1,29,110.8110969,94.65974716,126.9624465,0,7,213,2,180,32.30269938,0.179459441
atlantic silverside,2015,1,0.377032212,30,51.43462342,43.30897088,59.56027595,0,7,213,2,180,16.25130507,0.090285028
atlantic silverside,2015,2,0.622967788,30,108.498542,83.66581407,133.33127,0,7,213,2,180,49.66545589,0.275919199
atlantic silverside,2015,1,1,31,63.06695879,48.10733835,78.02657924,0,7,213,2,180,29.91924089,0.166218005
atlantic silverside,2015,1,0.674977062,32,59.81452222,43.6018552,76.02718925,0,7,213,2,180,32.42533405,0.180140745
atlantic silverside,2015,2,0.325022938,32,111.073913,93.83041809,128.3174079,0,7,213,2,180,34.48698982,0.191594388
atlantic silverside,2015,1,0.720288738,33,69.08827402,46.28205985,91.89448819,0,7,213,2,180,45.61242834,0.25340238
atlantic silverside,2015,2,0.279711262,33,121.934646,105.204694,138.6645979,0,7,213,2,180,33.45990391,0.185888355
atlantic silverside,2015,1,0.31988564,37,68.62285473,55.72704987,81.51865959,41.76984223,7,213,2,180,25.79160972,0.143286721
atlantic silverside,2015,1,1,38,69.69141207,36.56902988,102.8137943,0,7,213,2,180,66.2447644,0.368026469
atlantic silverside,2015,1,0.454866082,39,70.34507947,46.59476314,94.0953958,33.254516,7,213,2,180,47.50063266,0.263892404
atlantic silverside,2016,2,0.449992358,24,87.76238538,70.58237854,136.7222931,34.01584727,7,213,2,180,66.13991456,0.36744397
atlantic silverside,2016,2,1,25,112.9763596,89.73507615,136.2176431,0,7,213,2,180,46.48256697,0.258236483
atlantic silverside,2016,2,1,26,108.9127113,81.71893374,136.1064889,0,7,213,2,180,54.38755514,0.302153084
atlantic silverside,2016,1,0.151467184,29,47.5243446,27.36245863,67.68623057,0,7,213,2,180,40.32377194,0.224020955
atlantic silverside,2016,2,0.848532816,29,106.4880325,80.93953658,132.0365284,0,7,213,2,180,51.09699178,0.283872177
atlantic silverside,2016,1,0.601668844,30,39.64316302,23.93923561,55.34709043,62.43878041,7,213,2,180,31.40785482,0.174488082
atlantic silverside,2016,1,0.500545528,31,63.801074,37.08881529,90.51333271,0,7,213,2,180,53.42451742,0.296802875
atlantic silverside,2016,2,0.499454472,31,118.2583485,102.4860734,134.0306237,0,7,213,2,180,31.54455034,0.175247502
atlantic silverside,2016,1,0.513214582,32,57.19157718,26.76563091,87.61752346,0,7,213,2,180,60.85189255,0.33806607
atlantic silverside,2016,2,0.486785418,32,113.5886877,89.10308279,138.0742925,0,7,213,2,180,48.97120972,0.272062276
atlantic silverside,2016,1,0.681960942,35,73.47787099,42.33893246,104.6168095,4.813549315,7,213,2,180,62.27787706,0.345988206
atlantic silverside,2016,2,0.318039058,35,123.8897871,101.6190332,146.160541,0,7,213,2,180,44.54150779,0.247452821
atlantic silverside,2016,1,0.803040905,36,78.9757996,49.15876089,108.7928383,8.93030662,7,213,2,180,59.63407742,0.33130043
atlantic silverside,2016,2,0.196959095,36,119.8785881,103.4673323,136.2898438,0,7,213,2,180,32.82251142,0.182347286
atlantic silverside,2017,2,1,25,92.85113059,69.59738792,116.1048733,0,7,213,2,180,46.50748533,0.258374918
atlantic silverside,2017,2,1,26,110.428623,96.20841601,124.6488299,0,7,213,2,180,28.4404139,0.158002299
atlantic silverside,2017,2,0.833333333,28,111.44,86.47871797,136.401282,0,7,213,2,180,49.92256406,0.277347578
atlantic silverside,2017,1,1,31,53.81747226,34.39638785,73.23855667,0,7,213,2,180,38.84216882,0.215789827
atlantic silverside,2017,1,0.618654567,32,59.28891482,43.3473809,75.23044874,0,7,213,2,180,31.88306784,0.177128155
atlantic silverside,2017,2,0.68000001,34,117.8235283,93.17316429,142.4738923,0,7,213,2,180,49.30072804,0.273892934
atlantic silverside,2017,1,0.767460993,37,77.33095938,53.34073072,101.321188,0,7,213,2,180,47.9804573,0.266558096
atlantic silverside,2017,2,0.232539007,37,127.1916566,109.612447,144.7708661,0,7,213,2,180,35.15841903,0.19532455
atlantic silverside,2018,2,1,24,116.1292837,97.63742821,134.6211391,0,7,213,2,180,36.9837109,0.205465061
atlantic silverside,2018,2,1,26,106.6697263,86.50788113,126.8315714,0,7,213,2,180,40.32369031,0.224020502
atlantic silverside,2018,2,1,28,115.1877055,95.45495654,134.9204545,0,7,213,2,180,39.46549791,0.219252766
atlantic silverside,2018,1,0.696988376,32,66.79185306,45.63409295,87.94961317,0,7,213,2,180,42.31552022,0.235086223
atlantic silverside,2018,2,0.139232401,32,121.4549311,111.6437447,131.2661175,0,7,213,2,180,19.62237283,0.109013182
atlantic silverside,2018,1,0.960471476,34,71.44992776,49.98336691,92.91648862,0,7,213,2,180,42.93312171,0.238517343
atlantic silverside,2018,2,0.039528524,34,114.3743458,104.7796926,123.968999,0,7,213,2,180,19.18930641,0.106607258
atlantic silverside,2020,1,0.259339143,26,43.06640604,7.312980739,78.81983134,0,7,213,2,180,71.5068506,0.397260281
atlantic silverside,2020,2,0.740660857,26,102.8051325,81.07041843,124.5398465,0,7,213,2,180,43.46942808,0.241496823
atlantic silverside,2020,2,1,28,107.9753123,82.52991994,133.4207047,0,7,213,2,180,50.8907848,0.282726582
atlantic silverside,2020,1,0.843141815,30,44.91133913,20.2883588,69.53431947,0,7,213,2,180,49.24596067,0.27358867
atlantic silverside,2020,1,0.716664536,32,64.47870022,39.11098638,89.84641407,0,7,213,2,180,50.73542769,0.281863487
atlantic silverside,2020,2,0.283335464,32,116.547275,95.83488005,137.2596699,0,7,213,2,180,41.42478985,0.230137721
atlantic silverside,2020,1,0.945452991,36,78.26819994,48.99335279,107.5430471,0,7,213,2,180,58.5496943,0.325276079
atlantic silverside,2020,2,0.054547009,36,124.9707208,113.4416895,136.4997521,0,7,213,2,180,23.05806254,0.128100347
atlantic silverside,2021,2,0.759186908,23,98.78377363,69.93907444,127.6284728,0,7,213,2,180,57.68939839,0.320496658
atlantic silverside,2021,2,0.835386996,24,101.2608559,77.60749554,124.9142163,0,7,213,2,180,47.30672073,0.262815115
atlantic silverside,2021,2,1,26,109.573917,78.57943345,140.5684005,0,7,213,2,180,61.98896704,0.34438315
atlantic silverside,2021,2,1,28,89.97375383,60.58898928,119.3585184,0,7,213,2,180,58.76952909,0.326497384
atlantic silverside,2021,1,1,29,58.37212406,43.0613268,73.68292133,0,7,213,2,180,30.62159453,0.17011997
atlantic silverside,2021,2,0.921079043,30,110.8646535,93.63189798,128.0974089,0,7,213,2,180,34.46551096,0.191475061
atlantic silverside,2021,1,0.698063207,31,63.27359082,43.41652259,83.13065906,10.60096243,7,213,2,180,39.71413647,0.220634092
atlantic silverside,2021,2,0.301936793,31,110.6312688,78.92057837,142.3419593,0,7,213,2,180,63.42138094,0.352341005
atlantic silverside,2022,2,0.665645366,24,114.1104275,102.6482655,125.5725895,0,7,213,2,180,22.92432403,0.127357356
atlantic silverside,2022,2,1,26,108.5760767,85.9038803,131.2482731,0,7,213,2,180,45.34439282,0.251913293
atlantic silverside,2022,2,1,27,112.7431878,90.14382868,135.342547,0,7,213,2,180,45.19871832,0.251103991
atlantic silverside,2022,2,0.272789635,28,103.0716303,97.23242403,129.3433953,0,7,213,2,180,32.11097126,0.064880069
atlantic silverside,2022,1,1,30,51.38184664,33.77258958,68.99110369,0,7,213,2,180,35.21851411,0.195658412
atlantic silverside,2022,1,0.736063911,31,66.87522545,47.31050789,86.439943,0,7,213,2,180,39.12943511,0.217385751
atlantic silverside,2022,1,0.714695165,32,69.14620011,45.55451403,92.73788619,0,7,213,2,180,47.18337216,0.262129845
atlantic silverside,2022,2,0.285304835,32,121.9630643,101.3286141,142.5975145,0,7,213,2,180,41.26890048,0.229271669
atlantic silverside,2022,1,1,33,88.23470543,59.56576631,116.9036445,0,7,213,2,180,57.33787824,0.318543768
atlantic silverside,2022,1,1,35,102.9323822,82.57496059,123.2898039,0,7,213,2,180,40.71484326,0.226193574
atlantic silverside,2022,1,1,37,107.9429749,74.24410081,141.6418491,0,7,213,2,180,67.39774826,0.374431935
atlantic silverside,2022,1,1,39,97.24229225,70.44079107,124.0437934,0,7,213,2,180,53.60300235,0.297794458
atlantic silverside,2023,1,0.363783013,29,36.53037106,20.8830027,52.17773942,74.29691112,7,213,2,180,31.29473672,0.173859648
atlantic silverside,2023,1,1,30,56.0348729,46.39122214,65.67852366,0,7,213,2,180,19.28730152,0.107151675
atlantic silverside,2023,1,1,31,57.19061447,43.19465818,71.18657076,0,7,213,2,180,27.99191258,0.155510625
atlantic silverside,2023,1,0.869096647,32,69.55925034,35.18271531,103.9357854,0,7,213,2,180,68.75307005,0.3819615
atlantic silverside,2023,1,1,33,59.35047329,29.74033635,88.96061022,0,7,213,2,180,59.22027386,0.329001521
atlantic silverside,2023,1,1,35,82.06974048,52.11350674,112.0259742,0,7,213,2,180,59.91246748,0.332847042
mummichog,2015,2,1,24,55.55340627,37.43259955,73.674213,0,3,101,4,150,36.24161345,0.241610756
mummichog,2015,2,1,30,56.02709027,47.72070433,64.33347621,0,3,101,4,150,16.61277189,0.110751813
mummichog,2015,1,0.925927014,31,34.00002366,25.88079767,42.11924966,0,3,101,4,150,16.23845198,0.108256347
mummichog,2015,2,0.074072986,31,55.00001255,53.00001255,57.00001255,0,3,101,4,150,4,0.026666667
mummichog,2015,1,0.499993724,32,39.15390311,32.45785578,45.84995044,0,3,101,4,150,13.39209466,0.089280631
mummichog,2015,2,0.500006276,32,63.61502063,54.41333092,72.81671034,0,3,101,4,150,18.40337943,0.122689196
mummichog,2015,1,0.84761233,33,41.4839576,30.8016261,52.1662891,0,3,101,4,150,21.364663,0.142431087
mummichog,2015,2,0.15238767,33,68.783476,60.20589088,77.36106113,0,3,101,4,150,17.15517025,0.114367802
mummichog,2015,1,0.55358482,34,32.47539076,6.735341328,58.2154402,0,3,101,4,150,51.48009887,0.343200659
mummichog,2015,2,0.44641518,34,75.70778065,61.18550635,90.23005495,0,3,101,4,150,29.0445486,0.193630324
mummichog,2015,1,1,35,35.30950684,23.51980982,47.09920386,0,3,101,4,150,23.57939404,0.15719596
mummichog,2015,1,0.823717188,37,43.48736908,32.29167187,72.14316793,0,3,101,4,150,39.85149606,0.149275963
mummichog,2015,1,0.402911336,39,40.78431622,34.83480756,69.08256921,0,3,101,4,150,34.24776165,0.079326782
mummichog,2016,2,1,24,52.90026872,40.84679244,64.95374499,0,3,101,4,150,24.10695255,0.160713017
mummichog,2016,2,0.592298631,25,50.0796975,44.47674275,64.82131134,11.75866052,3,101,4,150,20.3445686,0.135630457
mummichog,2016,2,1,28,54.87158848,36.24622401,73.49695295,0,3,101,4,150,37.25072894,0.248338193
mummichog,2016,1,0.638431054,30,34.86204813,27.18539507,42.5387012,0,3,101,4,150,15.35330613,0.102355374
