"loc_id","date","site_name","site_id","bay_location","week","month","year","green crab","northern pipefish","shorthorn sculpin","tomcod","winter flounder","atlantic cod","sandlance","hake","mummichog","atlantic silverside","banded killifish","alewife","atlantic herring","striped bass","white hake","pollock","rock gunnel","unID sculpin","american shad","atlantic menhaden","unID shiner","smallmouth bass","bluefish","ninespine stickleback","red hake","spotted hake","longhorn sculpin","threespine stickleback","river herring","white sucker","blueback herring","smelt","horseshoe crab","common dab","largemouth bass","american eel","northern puffer","lumpfish","white mullet","mullet","golden shiner","emerald shiner","slimy sculpin","grubby sculpin","striped sculpin","unID sturgeon","shortnose sturgeon","periwinkle","butterfish","unID gunnel","shortfin squid","permit","crevalle jack","substrate","do_mg.l","salinity_ppt","temp_degc","TideHT.m","numeric.tide","shannon","simpson","logcrab","logshannon"
"2014_008_04","2014-08-01","Mussel Cove",4,"Mid",31,8,2014,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",9.1,33.62,22.1,2.0275,0.719051291939838,0,0,1.86606598307361,0
"2014_008_07","2014-08-01","Mackworth Island - Beach",7,"Mid",31,8,2014,53,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud/shell",8.3,16.5,23.1,0.598,0.167759352101813,0.606653718865078,0.2998046875,3.29065809636919,0.653882530397871
"2014_008_08","2014-08-01","Back Cove",8,"Mid",31,8,2014,29,0,0,0,3,0,0,0,12,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",7.5,31.2,18.3,1.54,0.53104512148091,1.21111233681413,0.63801652892562,2.74611929336248,1.17681112087095
"2014_008_11","2014-08-01","Cushing Island",11,"Outer",31,8,2014,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand/shell",10.7,33.33,18.4,0.328,0.063632857693791,0.791932795243018,0.430439952437574,2.49267574854026,0.820134495336557
"2014_008_12","2014-08-01","Alewife Cove",12,"Outer",31,8,2014,2,0,0,0,6,0,923,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand/gravel",9.5,33.65,15.5,0.170833333333333,0.00287992429619663,0.0626132496398608,0.019172852695758,1.23114441334492,0.0948781717940647
"2014_009_01","2014-08-07","Presumpscot Moorings",1,"Inner",32,8,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud/gravel",7.4,0.49,23.4,2.599,0.909800859039438,0,0,0,0
"2014_009_03","2014-08-07","Audubon",3,"Inner",32,8,2014,3,0,0,0,0,0,0,0,0,429,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud/sand",7.6,11.95,21.3,2.45983333333333,0.855460106729142,0.0983837755689243,0.0317523777459808,1.39038917031591,0.139310856474671
"2014_009_05","2014-08-07","The Brothers - North",5,"Mid",32,8,2014,4,0,0,0,0,0,0,0,0,118,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand/gravel",9.2,31.07,20.8,1.87783333333333,0.628205128205128,0.298331113321063,0.121315192743764,1.5157165665104,0.35767926671711
"2014_009_06","2014-08-07","Mackworth Island - North",6,"Mid",32,8,2014,15,0,0,0,2,0,0,0,1,3,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud/shell",9.1,30.96,20.1,2.14,0.730573994533385,1.3863881669823,0.692520775623269,2.25334338084266,1.32008566955189
"2014_009_09","2014-08-07","Great Diamond Island",9,"Outer",32,8,2014,0,0,0,0,0,0,0,0,0,0,0,0,3186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand/shell",9.2,32.07,18.3,1.474,0.470519328387349,0,0,0,0
"2014_009_10","2014-08-07","SMCC",10,"Outer",32,8,2014,4,0,0,1,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand/shell",8.9,29.07,19.2,0.8495,0.226669269816478,1.25115598336363,0.6953125,1.5157165665104,1.20980322698209
"2014_010_02","2014-08-12","Skitterygusset",2,"Inner",33,8,2014,11,0,0,0,0,0,0,0,1,68,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",6.8,14.7,20.9,2.04533333333333,0.652752726960405,0.585946418572091,0.293872694824509,2.05313641365884,0.6348618327095
"2014_010_04","2014-08-12","Mussel Cove",4,"Mid",33,8,2014,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",8.2,33.24,18.8,3.0935,0.922829167740273,0,0,0,0
