"species_name","year","Group","lambda","week","mu","ll","ul","overlap","Linf","agemax","range","coverage"
"atlantic herring",2022,"1",0.751940735352202,24,56.5247219624363,50.8384889186087,62.2109550062639,0,430,20,11.3724660876552,0.0264475955526865
"atlantic herring",2022,"2",0.248059264647798,24,75.7675007602362,64.2295845627172,87.3054169577552,0,430,20,23.0758323950379,0.0536647265000882
"atlantic herring",2022,"1",0.93581529020625,26,58.7990655964587,42.1331144332914,75.465016759626,0,430,20,33.3319023263346,0.0775160519217083
"atlantic herring",2022,"1",1,27,75.5102848268484,64.9033688440254,86.1172008096715,0,430,20,21.2138319656461,0.0493344929433629
"atlantic herring",2022,"1",1,28,63.1958665259824,52.7550734693382,73.6366595826266,0,430,20,20.8815861132883,0.048561828170438
"atlantic herring",2022,"1",0.904235071725923,30,63.8033176811963,57.1716640290739,70.4349713333186,5.71539874060259,430,20,13.2633073042447,0.0308449007075457
"atlantic herring",2023,"1",1,22,55.8651661492496,49.8653022052139,61.8650300932852,0,430,20,11.9997278880713,0.0279063439257471
"atlantic herring",2024,"1",1,24,54.4533062676838,48.7964520181915,60.1101605171762,0,430,20,11.3137084989848,0.026310949997639
"atlantic herring",2024,"1",1,25,63.7808239122292,54.0402496027345,73.5213982217239,0,430,20,19.4811486189894,0.0453049967883474
"atlantic herring",2024,"1",0.530406234726577,27,57.1218370115116,48.1791114321262,66.0645625908969,9.19257946277377,430,20,17.8854511587707,0.0415940724622574
"atlantic herring",2024,"2",0.469593765273423,27,72.2281743862962,64.4204282808513,80.0359204917411,0,430,20,15.6154922108898,0.03631509816486
"atlantic herring",2025,"1",0.216954389450572,28,46.0754137300955,39.8925503875597,52.2582770726314,0,430,20,12.3657266850717,0.0287575039187713
"atlantic herring",2025,"2",0.00053231340341829,28,46.0851912361335,39.901005389666,52.2693770826009,0,430,20,12.3683716929348,0.0287636550998485
"atlantic herring",2025,"3",0.00677835256424713,28,46.1079233603998,39.920894146708,52.2949525740915,0,430,20,12.3740584273835,0.0287768800636825
"atlantic herring",2025,"5",0.222222202668598,28,64.499999864564,61.4999980870961,67.500001642032,0,430,20,6.00000355493591,0.0139534966393858
"atlantic herring",2025,"1",1,32,79.726482084456,65.2164325166034,94.2365316523086,0,430,20,29.0200991357051,0.0674886026411747
"atlantic herring",2025,"1",1,35,95.3648543724331,83.5225572979631,107.207151446903,0,430,20,23.6845941489399,0.0550804515091626
"atlantic silverside",2014,"1",1,25,109.562991852949,82.2959621450597,136.830021560838,0,150,2,54.5340594157783,0.363560396105189
"atlantic silverside",2014,"1",0.604630756983967,30,52.6536720987927,46.811328636828,58.4960155607574,0,150,2,11.6846869239294,0.0778979128261961
"atlantic silverside",2014,"2",0.395369243016033,30,100.409566019893,79.7292510572024,121.089880982584,0,150,2,41.3606299253819,0.275737532835879
"atlantic silverside",2014,"1",1,31,57.1121338970413,45.185772539188,69.0384952548945,0,150,2,23.8527227157065,0.159018151438043
"atlantic silverside",2014,"1",1,32,63.202948178975,38.2128760761638,88.1930202817863,0,150,2,49.9801442056225,0.333200961370816
"atlantic silverside",2014,"1",0.38498945817077,35,58.5850193848556,51.6647807063832,65.5052580633279,86.3166674803225,150,2,13.8404773569447,0.0922698490462982
"atlantic silverside",2014,"2",0.61501054182923,35,78.6956931175069,53.5586192454446,103.832766989569,0,150,2,50.2741477441245,0.33516098496083
"atlantic silverside",2015,"1",0.255383255339417,24,91.2805356144824,74.3247637223568,108.236307506608,36.8884990795239,150,2,33.9115437842512,0.226076958561675
"atlantic silverside",2015,"2",0.744616744660583,24,109.507979808067,95.7268479899022,123.289111626232,0,150,2,27.5622636363296,0.183748424242197
"atlantic silverside",2015,"1",0.364167581803484,25,96.2937332736676,85.7314665219905,106.856000025345,59.4573408260527,150,2,21.1245335033543,0.140830223355695
"atlantic silverside",2015,"2",0.635832418196516,25,111.433257819667,94.2959141423417,128.570601496992,0,150,2,34.27468735465,0.228497915697667
"atlantic silverside",2015,"1",1,27,109.051560295187,84.9624400479526,133.140680542421,0,150,2,48.1782404944686,0.321188269963124
"atlantic silverside",2015,"1",1,29,110.811096850132,94.6597471583544,126.96244654191,0,150,2,32.302699383556,0.215351329223707
"atlantic silverside",2015,"1",0.377032211356407,30,51.4346234107792,43.3089708765192,59.5602759450392,0,150,2,16.2513050685199,0.108342033790133
"atlantic silverside",2015,"2",0.622967788643593,30,108.498541952635,83.665813821178,133.331270084093,0,150,2,49.6654562629148,0.331103041752765
"atlantic silverside",2015,"1",1,31,63.1623614482383,44.4977066703139,81.8270162261626,0,150,2,37.3293095558487,0.248862063705658
"atlantic silverside",2015,"1",0.450160839868384,32,55.1650474380068,47.7997541728627,62.5303407031509,86.1166906329927,150,2,14.7305865302882,0.0982039102019212
"atlantic silverside",2015,"1",0.720288750779943,33,69.088274909334,46.2820590539282,91.8944907647399,0,150,2,45.6124317108118,0.304082878072079
"atlantic silverside",2015,"2",0.279711249220057,33,121.934647239627,105.204697491008,138.664596988247,0,150,2,33.4598994972391,0.223065996648261
"atlantic silverside",2015,"1",0.482942074277529,35,52.3526766540042,42.6013095502098,62.1040437577986,0,150,2,19.5027342075888,0.130018228050592
"atlantic silverside",2015,"1",0.319884430906967,37,68.6228280609386,55.7270512352577,81.5186048866195,41.7700239497707,150,2,25.7915536513618,0.171943691009079
"atlantic silverside",2015,"2",0.680115569093033,37,94.6513590817749,70.7454667494277,118.557251414122,0,150,2,47.8117846646943,0.318745231097962
"atlantic silverside",2015,"1",0.454934101654321,39,70.3474024252389,46.594893598378,94.0999112520998,33.2482708213357,150,2,47.5050176537217,0.316700117691478
"atlantic silverside",2015,"2",0.545065898345679,39,106.803634297949,78.305314328867,135.30195426703,0,150,2,56.9966399381631,0.379977599587754
"atlantic silverside",2016,"2",0.0731707309923793,24,205.000000002783,203.367006842744,206.632993162822,0,150,2,3.26598632007813,0.0217732421338542
"atlantic silverside",2016,"1",1,25,112.976359640155,89.7350761544157,136.217643125895,0,150,2,46.4825669714794,0.309883779809862
"atlantic silverside",2016,"1",1,26,108.912711312342,81.7189337435387,136.106488881145,0,150,2,54.3875551376062,0.362583700917375
"atlantic silverside",2016,"1",0.151467017995071,29,47.5243064222815,27.3624844856823,67.6861283588808,0,150,2,40.3236438731985,0.26882429248799
"atlantic silverside",2016,"2",0.848532982004929,29,106.488023125582,80.9395115897864,132.036534661378,0,150,2,51.0970230715915,0.340646820477277
