"date","sst","min","max","sd","range","year","month","hold"
2004-05-15,8.68999304347826,8.08100000000002,8.92700000000002,0.173028556847198,0.846000000000004,"2004",5,2025-05-15
2004-05-16,9.01730956521739,8.35399999999998,9.25,0.168950918059729,0.896000000000015,"2004",5,2025-05-16
2004-05-17,9.35433913043478,8.50799999999998,9.58300000000003,0.231777155040237,1.07500000000005,"2004",5,2025-05-17
2004-05-18,9.25531130434782,8.76499999999999,9.43200000000002,0.14184198449461,0.66700000000003,"2004",5,2025-05-18
2004-05-19,9.27986260869565,8.685,9.815,0.225173452871781,1.13,"2004",5,2025-05-19
2004-05-20,9.37966782608696,8.90300000000002,10.018,0.241602798237822,1.11499999999995,"2004",5,2025-05-20
2004-05-21,9.40424347826087,8.97500000000002,9.87799999999999,0.211038629128405,0.902999999999963,"2004",5,2025-05-21
2004-05-22,9.31264869565217,8.91000000000003,9.50599999999997,0.112199991277721,0.595999999999947,"2004",5,2025-05-22
2004-05-23,8.90246782608696,8.459,9.33600000000001,0.215901049872063,0.87700000000001,"2004",5,2025-05-23
2004-05-24,8.87400347826087,8.44099999999997,9.30200000000002,0.212018579461002,0.861000000000047,"2004",5,2025-05-24
2004-05-25,8.84008695652174,8.35500000000002,9.31299999999999,0.234993845468277,0.95799999999997,"2004",5,2025-05-25
2004-05-26,8.70280695652174,8.15899999999999,9.21699999999998,0.261371915094762,1.05799999999999,"2004",5,2025-05-26
2004-05-27,8.99969217391304,8.53500000000003,9.41699999999997,0.170255968980499,0.881999999999948,"2004",5,2025-05-27
2004-05-28,9.12798782608696,8.70499999999998,9.33699999999999,0.112876894142816,0.632000000000005,"2004",5,2025-05-28
2004-05-29,9.30701739130435,8.846,9.673,0.162721710591159,0.826999999999998,"2004",5,2025-05-29
2004-05-30,9.1330852173913,8.32799999999997,10.068,0.521133267954798,1.74000000000001,"2004",5,2025-05-30
2004-05-31,9.01527130434783,8.11099999999999,10.165,0.616473956310622,2.05400000000003,"2004",5,2025-05-31
2004-06-01,9.09552173913043,8.33999999999997,9.976,0.508940683479034,1.63600000000002,"2004",6,2025-06-01
2004-06-02,9.35825913043478,8.84199999999998,9.779,0.220252604383964,0.937000000000012,"2004",6,2025-06-02
2004-06-03,9.39330608695652,8.96600000000001,9.83699999999999,0.2618493932661,0.870999999999981,"2004",6,2025-06-03
2004-06-04,9.49661913043478,8.964,9.95299999999997,0.306975692751086,0.988999999999976,"2004",6,2025-06-04
2004-06-05,9.56951304347826,8.97000000000003,9.95800000000003,0.32664867180922,0.988,"2004",6,2025-06-05
2004-06-06,9.53647130434783,9.084,9.92200000000003,0.253754927438887,0.838000000000022,"2004",6,2025-06-06
2004-06-07,9.78809043478261,9.33699999999999,10.198,0.165377328545506,0.86099999999999,"2004",6,2025-06-07
2004-06-08,10.5539773913043,9.90800000000002,11.028,0.269313531471407,1.12,"2004",6,2025-06-08
2004-06-09,11.0949704347826,10.358,11.64,0.311207635677799,1.28199999999998,"2004",6,2025-06-09
2004-06-10,11.1620417391304,10.458,11.858,0.263013834237771,1.39999999999998,"2004",6,2025-06-10
2004-06-11,11.2135408695652,10.668,11.606,0.218994880015743,0.937999999999988,"2004",6,2025-06-11
2004-06-12,11.1797286956522,10.503,11.782,0.341544406070399,1.279,"2004",6,2025-06-12
2004-06-13,11.0676886956522,10.432,11.739,0.29295032720577,1.30699999999996,"2004",6,2025-06-13
2004-06-14,10.9541565217391,10.288,11.907,0.420233056943594,1.61899999999997,"2004",6,2025-06-14
2004-06-15,11.3166939130435,10.909,11.739,0.181860076246059,0.829999999999984,"2004",6,2025-06-15
2004-06-16,11.6695286956522,11.059,12.303,0.269552685587678,1.24399999999997,"2004",6,2025-06-16
2004-06-17,12.1446347826087,11.649,12.373,0.124593382581838,0.72399999999999,"2004",6,2025-06-17
2004-06-18,11.8666539130435,11.113,12.564,0.362996885524058,1.45100000000002,"2004",6,2025-06-18
2004-06-19,11.9815739130435,11.342,12.41,0.265457158130282,1.06800000000004,"2004",6,2025-06-19
2004-06-20,12.3248382608696,11.57,13.269,0.526791365518102,1.69900000000001,"2004",6,2025-06-20
2004-06-21,12.293947826087,11.636,13.173,0.4500826955274,1.53699999999998,"2004",6,2025-06-21
2004-06-22,12.174572173913,11.719,12.669,0.25588429289387,0.949999999999989,"2004",6,2025-06-22
2004-06-23,12.0978191304348,11.694,12.438,0.185386887992815,0.743999999999971,"2004",6,2025-06-23
2004-06-24,12.0179530434783,11.566,12.33,0.213934975516936,0.76400000000001,"2004",6,2025-06-24
2004-06-25,12.1546869565217,11.671,12.443,0.205541867570441,0.771999999999991,"2004",6,2025-06-25
2004-06-26,12.1937130434783,11.904,12.476,0.136536702651831,0.572000000000003,"2004",6,2025-06-26
2004-06-27,12.3156869565217,11.806,12.896,0.239410147876457,1.09000000000003,"2004",6,2025-06-27
2004-06-28,12.4515513043478,12.044,13.15,0.262462979757278,1.10599999999999,"2004",6,2025-06-28
2004-06-29,12.8943808695652,12.328,13.368,0.278620505427253,1.04000000000002,"2004",6,2025-06-29
2004-06-30,13.1703182608696,12.453,13.881,0.401532944045396,1.428,"2004",6,2025-06-30
2004-07-01,13.7423234782609,13.262,14.083,0.197223205380336,0.821000000000026,"2004",7,2025-07-01
2004-07-02,14.0073182608696,13.511,14.279,0.127851508750007,0.767999999999972,"2004",7,2025-07-02
2004-07-03,14.5039060869565,13.889,15.059,0.235445958825681,1.17000000000002,"2004",7,2025-07-03
2004-07-04,14.6994173913043,14.084,15.101,0.159110998367634,1.017,"2004",7,2025-07-04
2004-07-05,14.7448017391304,14.151,15.04,0.166310566491088,0.88900000000001,"2004",7,2025-07-05
2004-07-06,14.7719304347826,13.952,15.438,0.347575553206915,1.48599999999999,"2004",7,2025-07-06
2004-07-07,14.7188382608696,13.713,15.395,0.353000246661829,1.68199999999996,"2004",7,2025-07-07
2004-07-08,13.9922156521739,13.184,14.799,0.374224990690121,1.61499999999995,"2004",7,2025-07-08
2004-07-09,13.9855913043478,13.256,14.85,0.310727405985017,1.59400000000005,"2004",7,2025-07-09
2004-07-10,13.9650991304348,13.243,14.864,0.313682525955518,1.62099999999998,"2004",7,2025-07-10
2004-07-11,13.6647165217391,12.89,14.165,0.219493703103681,1.27500000000003,"2004",7,2025-07-11
2004-07-12,13.5314660869565,12.764,14.155,0.28364560225862,1.39099999999996,"2004",7,2025-07-12
2004-07-13,13.600627826087,12.769,14.303,0.340650060960984,1.53399999999999,"2004",7,2025-07-13
2004-07-14,13.4903947826087,12.997,14.037,0.247079877421027,1.03999999999996,"2004",7,2025-07-14
2004-07-15,13.6917495652174,13.382,14.336,0.28642134704703,0.954000000000008,"2004",7,2025-07-15
2004-07-16,14.0436765217391,13.548,14.557,0.201152627375522,1.00900000000001,"2004",7,2025-07-16
2004-07-17,14.2602295652174,13.909,14.973,0.264393374757509,1.06400000000002,"2004",7,2025-07-17
2004-07-18,14.5027565217391,14.176,15.734,0.347065683550941,1.55799999999999,"2004",7,2025-07-18
2004-07-19,15.1690973913043,14.554,15.762,0.223351235659297,1.20800000000003,"2004",7,2025-07-19
2004-07-20,15.6144452173913,14.875,16.094,0.263045789075649,1.21899999999999,"2004",7,2025-07-20
2004-07-21,15.8025565217391,15.008,16.199,0.25766647780763,1.19100000000003,"2004",7,2025-07-21
2004-07-22,15.9317860869565,15.264,16.229,0.189139462808414,0.964999999999975,"2004",7,2025-07-22
2004-07-23,15.8742191304348,14.936,16.256,0.268626809994875,1.31999999999999,"2004",7,2025-07-23
2004-07-24,15.035947826087,14.251,15.305,0.192132949917166,1.05400000000003,"2004",7,2025-07-24
2004-07-25,14.7287339130435,13.784,15.125,0.253243992360564,1.34100000000001,"2004",7,2025-07-25
2004-07-26,14.7813513043478,14.011,15.055,0.221100411690456,1.04399999999998,"2004",7,2025-07-26
2004-07-27,14.6318591304348,14.103,15.07,0.228494137153512,0.966999999999985,"2004",7,2025-07-27
2004-07-28,15.7370156521739,15.126,16.411,0.298516502964307,1.28500000000003,"2004",7,2025-07-28
2004-07-29,16.1172034782609,15.776,16.772,0.24497087643528,0.995999999999981,"2004",7,2025-07-29
2004-07-30,15.9715043478261,15.422,16.812,0.292139219529551,1.38999999999999,"2004",7,2025-07-30
2004-07-31,15.34308,14.571,16.331,0.490914566962267,1.75999999999999,"2004",7,2025-07-31
2004-08-01,14.9664243478261,14.435,15.68,0.308722478520968,1.245,"2004",8,2025-08-01
2004-08-02,14.9523217391304,14.403,15.68,0.242499705370922,1.27699999999999,"2004",8,2025-08-02
2004-08-03,15.0714486956522,14.488,15.868,0.25051795208028,1.38,"2004",8,2025-08-03
2004-08-04,15.8229860869565,15.269,16.189,0.204751697540732,0.920000000000016,"2004",8,2025-08-04
2004-08-05,15.9514643478261,15.548,16.163,0.114689635873877,0.615000000000009,"2004",8,2025-08-05
2004-08-06,16.1027026086957,15.754,16.309,0.106204852232759,0.555000000000007,"2004",8,2025-08-06
2004-08-07,16.091707826087,15.629,16.394,0.179706530581858,0.764999999999986,"2004",8,2025-08-07
2004-08-08,16.1843756521739,15.73,16.41,0.144989443681163,0.680000000000007,"2004",8,2025-08-08
2004-08-09,16.1363113043478,15.53,16.784,0.268137768415945,1.25400000000002,"2004",8,2025-08-09
2004-08-10,16.1549652173913,15.576,16.931,0.290302387416946,1.35499999999996,"2004",8,2025-08-10
2004-08-11,15.7821756521739,15.489,16.331,0.187342255405731,0.842000000000041,"2004",8,2025-08-11
2004-08-12,15.7083147826087,15.323,16.099,0.124747605985896,0.77600000000001,"2004",8,2025-08-12
2004-08-13,15.6654817391304,15.279,15.952,0.107707320207302,0.673000000000002,"2004",8,2025-08-13
2004-08-14,15.5369791304348,14.988,15.93,0.193283663242899,0.942000000000007,"2004",8,2025-08-14
