"date","mean.sst","min.sst","max.sst","sd","ten","nine","month","year","doy"
2025-05-11,6.58563304347826,6.38299999999998,6.80900000000003,0.0940411687237942,6.4578,6.71360000000001,5,2025,131
2025-05-12,7.65307652173913,7.274,8.03500000000003,0.165335392592238,7.43280000000002,7.87599999999998,5,2025,132
2025-05-13,9.90522434782609,9.58600000000001,10.215,0.144832644374581,9.71180000000002,10.1036,5,2025,133
2025-05-14,10.4144156521739,9.96300000000002,10.783,0.193148656706007,10.1474,10.666,5,2025,134
2025-05-15,10.4199739130435,9.959,10.801,0.199213692142635,10.1438,10.6856,5,2025,135
2025-05-16,10.10668,9.70400000000001,10.498,0.181860588716255,9.8664,10.352,5,2025,136
2025-05-17,9.7172852173913,9.38499999999999,10.034,0.14537546740511,9.51980000000001,9.90899999999999,5,2025,137
2025-05-18,9.87722782608696,9.65499999999997,10.078,0.0947808324135268,9.74539999999999,10.002,5,2025,138
2025-05-19,9.90323652173913,9.63200000000001,10.171,0.117083533069785,9.7532,10.063,5,2025,139
2025-05-20,8.91105043478261,8.68900000000002,9.101,0.0885978812382958,8.78800000000001,9.02760000000001,5,2025,140
2025-05-21,8.54798434782609,8.33299999999997,8.74099999999999,0.0873564811954297,8.42899999999997,8.66399999999999,5,2025,141
2025-05-22,8.17521391304348,7.97199999999998,8.37200000000001,0.0864476507591114,8.0634,8.29159999999998,5,2025,142
2025-05-23,7.79293739130435,7.63799999999998,7.95299999999997,0.0699572261808958,7.70499999999998,7.89060000000001,5,2025,143
2025-05-24,7.89127304347826,7.73199999999997,8.04899999999998,0.0712835058717105,7.80099999999999,7.99099999999999,5,2025,144
2025-05-25,9.56322086956522,9.375,9.678,0.0585933388248462,9.48439999999999,9.637,5,2025,145
2025-05-26,9.57158260869565,9.262,9.78500000000003,0.112498082260752,9.4194,9.71960000000001,5,2025,146
2025-05-27,9.47247130434782,9.16399999999999,9.69900000000001,0.117208525546734,9.31440000000001,9.62960000000001,5,2025,147
2025-05-28,10.1301826086957,9.68799999999999,10.531,0.185319019719613,9.88600000000001,10.3796,5,2025,148
2025-05-29,10.4291652173913,10.063,10.767,0.160968645118878,10.2178,10.65,5,2025,149
2025-05-30,10.4944347826087,10.191,10.788,0.141849562705108,10.3064,10.6896,5,2025,150
2025-05-31,10.3532017391304,9.97899999999998,10.708,0.16336202394697,10.1396,10.5752,5,2025,151
2025-06-01,10.2821182608696,9.90499999999997,10.639,0.157965825474615,10.0778,10.4946,6,2025,152
2025-06-02,11.8199043478261,11.585,11.957,0.0855408061142755,11.6968,11.9216,6,2025,153
2025-06-03,11.7719617391304,11.582,11.95,0.0922548654870258,11.6398,11.892,6,2025,154
2025-06-04,11.7534086956522,11.563,11.944,0.0949482983879248,11.618,11.8756,6,2025,155
2025-06-05,11.6636104347826,11.43,11.864,0.107619253498982,11.508,11.802,6,2025,156
2025-06-06,11.6587843478261,11.409,11.795,0.0902225013762241,11.5264,11.7666,6,2025,157
2025-06-07,14.0224886956522,13.599,14.25,0.157475398645659,13.796,14.216,6,2025,158
2025-06-08,14.2232939130435,13.719,14.438,0.167093462802459,13.9664,14.392,6,2025,159
2025-06-09,14.2503408695652,13.767,14.47,0.15909948671104,14.0032,14.4086,6,2025,160
2025-06-10,14.1171043478261,13.637,14.373,0.186591056972297,13.8476,14.349,6,2025,161
2025-06-11,14.2833739130435,13.947,14.535,0.128204014574928,14.1138,14.4536,6,2025,162
2025-06-12,14.8790434782609,14.355,15.185,0.192353858337048,14.6094,15.118,6,2025,163
2025-06-13,14.6935252173913,14.159,15.038,0.205294211348371,14.4046,14.9506,6,2025,164
2025-06-14,14.2603356521739,13.738,14.642,0.232920326357622,13.9188,14.555,6,2025,165
2025-06-15,14.3964104347826,13.775,14.761,0.272120192551125,13.9764,14.712,6,2025,166
2025-06-16,14.2097773913043,13.589,14.56,0.273810062559863,13.7904,14.525,6,2025,167
2025-06-17,14.1942434782609,13.626,14.576,0.251329433550998,13.8202,14.501,6,2025,168
2025-06-18,14.3855130434783,13.773,14.94,0.279105364104812,14.0164,14.7718,6,2025,169
2025-06-19,14.477667826087,13.939,14.935,0.208587516015701,14.1674,14.7428,6,2025,170
2025-06-20,14.3666017391304,13.871,14.794,0.234381214382694,14.0192,14.659,6,2025,171
2025-06-21,14.6459026086957,14.126,15.198,0.291643267325784,14.26,15.062,6,2025,172
2025-06-22,14.7598991304348,14.431,15.063,0.152932144033507,14.555,14.96,6,2025,173
2025-06-23,15.8073460869565,15.362,16.267,0.200220819424025,15.5562,16.0892,6,2025,174
2025-06-24,17.3288626086957,16.953,17.607,0.139389111111015,17.1434,17.508,6,2025,175
2025-06-25,16.9369826086957,16.705,17.056,0.0662052797731262,16.839,17.01,6,2025,176
2025-06-26,17.0519408695652,16.767,17.177,0.0858066052293446,16.9252,17.148,6,2025,177
2025-06-27,16.6940643478261,16.482,16.838,0.0788501712786993,16.581,16.7916,6,2025,178
2025-06-28,16.4386904347826,16.234,16.656,0.107272479409495,16.299,16.593,6,2025,179
2025-06-29,16.9338139130435,16.49,17.491,0.22142722469011,16.6664,17.2534,6,2025,180
2025-06-30,16.8099339130435,16.388,17.543,0.223944498664398,16.5764,17.1516,6,2025,181
2025-07-01,17.4521930434783,16.975,17.818,0.218461174969246,17.1244,17.7032,7,2025,182
2025-07-02,17.8962173913043,17.568,18.184,0.160340696860897,17.681,18.1262,7,2025,183
2025-07-03,18.1835843478261,17.797,18.515,0.18864703347496,17.8928,18.4146,7,2025,184
2025-07-04,18.066667826087,17.449,18.495,0.205892776612716,17.76,18.286,7,2025,185
2025-07-05,17.8041634782609,17.058,18.075,0.153530318159483,17.626,17.971,7,2025,186
2025-07-06,17.5490730434783,16.709,17.926,0.183783584155878,17.3384,17.7868,7,2025,187
2025-07-07,17.410107826087,16.733,17.713,0.16172571800884,17.2018,17.5958,7,2025,188
2025-07-08,17.3295860869565,16.706,17.852,0.255157044927481,16.9846,17.6772,7,2025,189
2025-07-09,17.5383791304348,16.786,18.237,0.339087727102761,17.0852,18.0044,7,2025,190
2025-07-10,17.0354139130435,16.467,17.567,0.261549508603418,16.6854,17.4,7,2025,191
2025-07-11,17.1396834782609,16.602,17.626,0.234434824836019,16.8298,17.4624,7,2025,192
2025-07-12,17.2525860869565,16.699,17.725,0.243375906494129,16.9226,17.5842,7,2025,193
2025-07-13,17.327827826087,16.741,17.805,0.242715947725133,17.004,17.6522,7,2025,194
2025-07-14,17.5651704347826,16.955,18.034,0.243217003869106,17.2358,17.884,7,2025,195
2025-07-15,20.3215495652174,20.119,20.638,0.128485810015137,20.175,20.5188,7,2025,196
2025-07-16,20.1155286956522,19.983,20.579,0.135912180067884,19.995,20.3378,7,2025,197
2025-07-17,20.1757356521739,20.017,20.736,0.175953974318923,20.025,20.467,7,2025,198
2025-07-18,20.3382834782609,20.187,20.844,0.159324897565937,20.209,20.603,7,2025,199
2025-07-19,19.9390973913043,19.36,20.314,0.231379579181424,19.6018,20.2256,7,2025,200
2025-07-20,17.4659147826087,16.867,17.949,0.280039789433773,17.0668,17.8092,7,2025,201
2025-07-21,16.7170069565217,16.4,17.273,0.190868590309809,16.4744,16.978,7,2025,202
2025-07-22,16.6696886956522,16.453,16.991,0.132193207222429,16.5054,16.8542,7,2025,203
2025-07-23,16.5918643478261,16.159,16.845,0.141748743575049,16.3782,16.7542,7,2025,204
2025-07-24,16.6897165217391,16.291,17.095,0.205084680364684,16.3874,16.932,7,2025,205
2025-07-25,16.9185826086957,16.44,17.294,0.214385881804808,16.595,17.1458,7,2025,206
2025-07-26,17.0662347826087,16.413,17.758,0.279362406541681,16.629,17.4152,7,2025,207
2025-07-27,17.1548886956522,16.613,17.563,0.21387640475195,16.8102,17.4104,7,2025,208
2025-07-28,18.0805826086957,17.967,18.197,0.0558438250665274,18.007,18.1596,7,2025,209
2025-07-29,18.9310956521739,18.712,19.178,0.0695683022248152,18.8464,19.015,7,2025,210
2025-07-30,18.7922243478261,18.53,18.928,0.0737711412930823,18.6808,18.8616,7,2025,211
2025-07-31,17.9911408695652,17.808,18.171,0.0720542477302144,17.8988,18.0896,7,2025,212
2025-08-01,17.8025756521739,17.501,18.087,0.0765454074791591,17.7274,17.872,8,2025,213
2025-08-02,17.8079530434783,17.425,18.123,0.0893080029674338,17.7314,17.8868,8,2025,214
2025-08-03,17.6073669565217,17.373,17.821,0.0868462293213782,17.505,17.731,8,2025,215
2025-08-04,17.5558852173913,17.367,17.883,0.113518962055907,17.4264,17.7142,8,2025,216
2025-08-05,17.7468313043478,17.302,18.09,0.123095828485192,17.5942,17.8886,8,2025,217
2025-08-06,18.1658486956522,17.446,18.537,0.219893171071399,17.8354,18.4272,8,2025,218
2025-08-07,18.2873269565217,17.619,18.774,0.230403911858297,17.9734,18.585,8,2025,219
2025-08-08,18.2751426086957,17.721,18.694,0.173625685260081,18.0312,18.486,8,2025,220
2025-08-09,18.5669426086957,18.303,18.988,0.168126275268595,18.371,18.7988,8,2025,221
2025-08-10,19.1754626086957,19.047,19.487,0.0923372940055254,19.075,19.2974,8,2025,222
2025-08-11,20.025892173913,19.747,20.445,0.149545742566715,19.8614,20.2486,8,2025,223
2025-08-12,20.2234713043478,19.732,20.965,0.33351323121375,19.8184,20.7452,8,2025,224
2025-08-13,20.3213130434783,19.594,21.201,0.398180731407755,19.838,20.9358,8,2025,225
2025-08-14,20.4850573913043,20.015,21.051,0.222055032519082,20.2242,20.823,8,2025,226
2025-08-15,20.1942956521739,19.941,20.555,0.134771000374855,20.046,20.387,8,2025,227
2025-08-16,19.77932,19.455,20.057,0.129396475779873,19.6124,19.9656,8,2025,228
2025-08-17,19.4752591304348,19.059,19.829,0.190425876959953,19.224,19.724,8,2025,229
2025-08-18,19.0121304347826,18.721,19.304,0.128553431301105,18.8284,19.1802,8,2025,230
2025-08-19,19.1322817391304,18.788,19.402,0.12642061285983,18.951,19.2816,8,2025,231
2025-08-20,17.1986904347826,16.464,18.024,0.402100796248761,16.7114,17.7708,8,2025,232
2025-08-21,17.1484817391304,16.147,18.287,0.552535359295884,16.5208,18.019,8,2025,233
2025-08-22,17.2248973913043,16.104,18.604,0.641205206334769,16.535,18.2602,8,2025,234
2025-08-23,17.0608730434783,16.12,18.118,0.503043811400614,16.4488,17.8026,8,2025,235
2025-08-24,16.8186330434783,16.176,17.493,0.303337025717327,16.4296,17.2386,8,2025,236
2025-08-25,19.2044017391304,18.981,19.407,0.091949976915766,19.0858,19.328,8,2025,237
2025-08-26,18.6395547826087,18.442,18.822,0.081696451250635,18.529,18.7486,8,2025,238
2025-08-27,16.9663339130435,16.799,17.222,0.102524866438077,16.8354,17.1152,8,2025,239
2025-08-28,16.7976539130435,16.371,17.122,0.163863481722825,16.5684,16.9856,8,2025,240
2025-08-29,16.8500730434783,16.391,17.245,0.184909352178172,16.6002,17.0736,8,2025,241
2025-08-30,16.9203426086957,16.603,17.085,0.0747554608738714,16.818,17.003,8,2025,242
2025-08-31,17.0661808695652,16.731,17.489,0.179370012475745,16.8394,17.3112,8,2025,243
2025-09-01,17.2288452173913,16.884,17.654,0.188714222787101,16.9744,17.4856,9,2025,244
2025-09-02,17.4579130434783,17.072,17.953,0.175344656385506,17.243,17.7116,9,2025,245
2025-09-03,17.5118713043478,17.066,18.023,0.22099680920853,17.2128,17.8276,9,2025,246
2025-09-04,17.5401947826087,17.045,18.025,0.232121341962203,17.2066,17.8096,9,2025,247
2025-09-05,17.6804765217391,17.263,18.215,0.263469776357901,17.3472,18.0706,9,2025,248
2025-09-06,17.7434817391304,17.192,18.305,0.321241617681721,17.3422,18.2286,9,2025,249
2025-09-07,17.3971060869565,17.104,17.796,0.177169570384425,17.1668,17.658,9,2025,250
2025-09-08,16.5043704347826,16.064,17.13,0.311803537764894,16.104,16.9146,9,2025,251
