Date,Simple Date,Outdoor Temperature (??F),Feels Like (??F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (??),Rain Rate (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg),CO2 battery
2025-08-08T03:15:00-04:00,8/8/2025 03:15,63.3,63.3,0,0,5.8,151,0,0,0,0,0.1,180.87,30.56,77,0,0,30.14,1
2025-08-08T03:10:00-04:00,8/8/2025 03:10,63.5,63.5,0,0,5.8,149,0,0,0,0,0.1,180.87,30.55,77,0,0,30.14,1
2025-08-08T03:05:00-04:00,8/8/2025 03:05,63.9,63.9,0,0,5.8,150,0,0,0,0,0.1,180.87,30.55,74,0,0,30.14,1
2025-08-08T03:00:00-04:00,8/8/2025 03:00,64,64,0,0,5.8,156,0,0,0,0,0.1,180.87,30.56,73,0,0,30.14,1
2025-08-08T02:55:00-04:00,8/8/2025 02:55,64,64,0,0,5.8,156,0,0,0,0,0.1,180.87,30.56,73,0,0,30.14,1
2025-08-08T02:50:00-04:00,8/8/2025 02:50,63.9,63.9,0.2,1.1,5.8,167,0,0,0,0,0.1,180.87,30.56,73,0,0,30.14,1
2025-08-08T02:45:00-04:00,8/8/2025 02:45,63.7,63.7,0,0,5.8,159,0,0,0,0,0.1,180.87,30.56,74,0,0,30.14,1
2025-08-08T02:40:00-04:00,8/8/2025 02:40,63.5,63.5,0,0,5.8,173,0,0,0,0,0.1,180.87,30.57,76,0,0,30.15,1
2025-08-08T02:35:00-04:00,8/8/2025 02:35,63.9,63.9,0,0,5.8,146,0,0,0,0,0.1,180.87,30.57,77,0,0,30.15,1
2025-08-08T02:30:00-04:00,8/8/2025 02:30,64,64,0,0,5.8,150,0,0,0,0,0.1,180.87,30.56,76,0,0,30.14,1
2025-08-08T02:25:00-04:00,8/8/2025 02:25,64,64,0,0,5.8,139,0,0,0,0,0.1,180.87,30.57,75,0,0,30.15,1
2025-08-08T02:20:00-04:00,8/8/2025 02:20,64.2,64.2,0,0,5.8,147,0,0,0,0,0.1,180.87,30.58,75,0,0,30.16,1
2025-08-08T02:15:00-04:00,8/8/2025 02:15,64.6,64.6,0,0,5.8,156,0,0,0,0,0.1,180.87,30.57,75,0,0,30.15,1
2025-08-08T02:10:00-04:00,8/8/2025 02:10,64.8,64.8,0,0,5.8,161,0,0,0,0,0.1,180.87,30.57,74,0,0,30.15,1
2025-08-08T02:05:00-04:00,8/8/2025 02:05,64.9,64.9,0.2,1.1,5.8,170,0,0,0,0,0.1,180.87,30.58,74,0,0,30.16,1
2025-08-08T02:00:00-04:00,8/8/2025 02:00,64.9,64.9,1.3,2.2,5.8,159,0,0,0,0,0.1,180.87,30.57,74,0,0,30.15,1
2025-08-08T01:55:00-04:00,8/8/2025 01:55,64.9,64.9,0,0,5.8,158,0,0,0,0,0.1,180.87,30.58,75,0,0,30.16,1
2025-08-08T01:50:00-04:00,8/8/2025 01:50,64.9,64.9,0.7,1.1,5.8,181,0,0,0,0,0.1,180.87,30.59,76,0,0,30.17,1
2025-08-08T01:45:00-04:00,8/8/2025 01:45,65.3,65.3,1.6,2.2,5.8,178,0,0,0,0,0.1,180.87,30.58,78,0,0,30.16,1
2025-08-08T01:40:00-04:00,8/8/2025 01:40,65.5,65.5,1.3,2.2,5.8,191,0,0,0,0,0.1,180.87,30.59,78,0,0,30.17,1
2025-08-08T01:35:00-04:00,8/8/2025 01:35,65.7,65.7,1.1,2.2,5.8,184,0,0,0,0,0.1,180.87,30.58,76,0,0,30.16,1
2025-08-08T01:30:00-04:00,8/8/2025 01:30,65.8,65.8,2.2,2.2,5.8,194,0,0,0,0,0.1,180.87,30.58,75,0,0,30.16,1
2025-08-08T01:25:00-04:00,8/8/2025 01:25,66,66,3.1,3.4,5.8,200,0,0,0,0,0.1,180.87,30.59,75,0,0,30.17,1
2025-08-08T01:20:00-04:00,8/8/2025 01:20,66,66,3.6,4.5,5.8,216,0,0,0,0,0.1,180.87,30.58,75,0,0,30.16,1
2025-08-08T01:15:00-04:00,8/8/2025 01:15,65.8,65.8,2.2,3.4,5.8,203,0,0,0,0,0.1,180.87,30.59,76,0,0,30.17,1
2025-08-08T01:10:00-04:00,8/8/2025 01:10,65.7,65.7,2.7,3.4,5.8,204,0,0,0,0,0.1,180.87,30.58,78,0,0,30.16,1
2025-08-08T01:05:00-04:00,8/8/2025 01:05,65.7,65.7,2.2,2.2,5.8,190,0,0,0,0,0.1,180.87,30.59,79,0,0,30.17,1
2025-08-08T01:00:00-04:00,8/8/2025 01:00,65.5,65.5,2.9,3.4,5.8,205,0,0,0,0,0.1,180.87,30.59,80,0,0,30.17,1
2025-08-08T00:55:00-04:00,8/8/2025 00:55,65.5,65.5,0.9,1.1,5.8,169,0,0,0,0,0.1,180.87,30.59,81,0,0,30.17,1
2025-08-08T00:50:00-04:00,8/8/2025 00:50,65.5,65.5,2.2,2.2,5.8,193,0,0,0,0,0.1,180.87,30.59,81,0,0,30.17,1
2025-08-08T00:45:00-04:00,8/8/2025 00:45,65.3,65.3,0.9,2.2,5.8,189,0,0,0,0,0.1,180.87,30.59,81,0,0,30.17,1
2025-08-08T00:40:00-04:00,8/8/2025 00:40,65.1,65.1,0.2,1.1,5.8,165,0,0,0,0,0.1,180.87,30.59,82,0,0,30.17,1
